        4436
  0.249542381803732839D-03  0.581697635958982617D-06  0.388541059386818700D-02  0.103800371839640029D+02
  0.255858932530441839D-03  0.606444523979897760D-06  0.395070345899588282D-02  0.102939045950440384D+02
  0.262335354448658996D-03  0.632244139942989586D-06  0.401709337745065342D-02  0.102084876780794023D+02
  0.268975693022697028D-03  0.659141262225259873D-06  0.408459877540911370D-02  0.101237790423307370D+02
  0.275784096041455280D-03  0.687182573269858933D-06  0.415323837707927759D-02  0.100397734309678128D+02
  0.282764816204330650D-03  0.716416740967601085D-06  0.422303124038279735D-02  0.995646648425388747D+01
  0.289922213772361975D-03  0.746894502901613698D-06  0.429399674392240416D-02  0.987385084673903179D+01
  0.297260759286247791D-03  0.778668754537129430D-06  0.436615456853442670D-02  0.979191960225434244D+01
  0.304785036352922154D-03  0.811794640428242006D-06  0.443952473075036325D-02  0.971066841663546398D+01
  0.312499744502405246D-03  0.846329650453632449D-06  0.451412759688469504D-02  0.963009320431314464D+01
  0.320409702116699105D-03  0.882333719101168058D-06  0.458998388509725391D-02  0.955018670157727456D+01
  0.328519849432536181D-03  0.919869329998600486D-06  0.466711462493003999D-02  0.947094212698322835D+01
  0.336835251619833648D-03  0.959001623078805519D-06  0.474554121505628250D-02  0.939235591583100415D+01
  0.345361101937756551D-03  0.999798508987213757D-06  0.482528542790690816D-02  0.931442252896983724D+01
  0.354102724970338175D-03  0.104233078559325947D-05  0.490636938491824295D-02  0.923713631113655964D+01
  0.363065579943652544D-03  0.108667226174890563D-05  0.498881559115932436D-02  0.916049082242052215D+01
  0.372255264126586480D-03  0.113289988445054401D-05  0.507264689662566184D-02  0.908448127176147224D+01
  0.381677516317307022D-03  0.118109387247742611D-05  0.515788657683790598D-02  0.900910388166659715D+01
  0.391338220417574356D-03  0.123133785599023675D-05  0.524455828275836259D-02  0.893435155466033137D+01
  0.401243409097103816D-03  0.128371902071760340D-05  0.533268604149954740D-02  0.886021961069272024D+01
  0.411399267550232087D-03  0.133832825950200792D-05  0.542229431346834788D-02  0.878670359650979194D+01
  0.421812137347202763D-03  0.139526033003438244D-05  0.551340795212109953D-02  0.871379783786669471D+01
  0.432488520382440234D-03  0.145461401859202779D-05  0.560605223343760457D-02  0.864149735472329716D+01
  0.443435082922241555D-03  0.151649231191067981D-05  0.570025285275399876D-02  0.856979639143194305D+01
  0.454658659754377957D-03  0.158100257492971035D-05  0.579603592403795005D-02  0.849869087586433025D+01
  0.466166258442154188D-03  0.164825673736090977D-05  0.589342803118863938D-02  0.842817620090585962D+01
  0.477965063685542905D-03  0.171837148789036201D-05  0.599245617856602932D-02  0.835824665348356888D+01
  0.490062441792069275D-03  0.179146847561327093D-05  0.609314782968704838D-02  0.828889788450896603D+01
  0.502465945260194128D-03  0.186767452178777403D-05  0.619553091358948996D-02  0.822012451204351535D+01
